2018-02-27T11:07:46.986Z - info: Iniciando Serviço de Obtenção dos arquivos dos REPs: 
2018-02-27T11:07:46.989Z - info: #Iniciando request:  2018-02-27T11:07:46.987Z
2018-02-27T11:07:46.990Z - info: #Request Número:  0
2018-02-27T11:07:55.995Z - info: Ultima NSR processada:  000005956
2018-02-27T11:07:55.996Z - info: NSR calculada para início da leitura:  000005806
2018-02-27T11:07:55.996Z - info: Hora do readFile!
2018-02-27T11:07:56.001Z - info: Encontrou , ativando busca 
2018-02-27T11:07:56.003Z - info: Quantidade de marcações:  165
2018-02-27T11:07:56.003Z - info: hashMapSize:  65
2018-02-27T11:07:56.015Z - info: itemsProcessed:  65
2018-02-27T11:07:56.015Z - warn: ## Terminou tudo, chamaria o callback ##
2018-02-27T11:08:26.390Z - info: ## Apontamento atualizado com sucesso 2018-02-22T03:00:00.000Z
2018-02-27T11:08:26.392Z - info: ## Apontamento atualizado com sucesso 2018-02-23T03:00:00.000Z
2018-02-27T11:08:26.393Z - info: ## Apontamento atualizado com sucesso 2018-02-26T03:00:00.000Z
2018-02-27T11:08:26.394Z - info: ## Apontamento atualizado com sucesso 2018-02-24T03:00:00.000Z
2018-02-27T11:08:26.395Z - info: ## Apontamento atualizado com sucesso 2018-02-26T03:00:00.000Z
2018-02-27T11:08:26.525Z - info: ## Apontamento atualizado com sucesso 2018-02-23T03:00:00.000Z
2018-02-27T11:08:26.564Z - info: ## Apontamento atualizado com sucesso 2018-02-26T03:00:00.000Z
2018-02-27T11:08:26.571Z - info: ## Apontamento atualizado com sucesso 2018-02-22T03:00:00.000Z
2018-02-27T11:08:26.571Z - info: ## Apontamento atualizado com sucesso 2018-02-22T03:00:00.000Z
2018-02-27T11:08:26.572Z - info: ## Apontamento atualizado com sucesso 2018-02-22T03:00:00.000Z
2018-02-27T11:08:26.574Z - info: ## Apontamento atualizado com sucesso 2018-02-22T03:00:00.000Z
2018-02-27T11:08:37.064Z - info: Iniciando Serviço de Obtenção dos arquivos dos REPs: 
2018-02-27T11:08:37.067Z - info: #Iniciando request:  2018-02-27T11:08:37.065Z
2018-02-27T11:08:37.068Z - info: #Request Número:  0
2018-02-27T11:08:42.953Z - info: Ultima NSR processada:  000001521
